tigID	rho	covStat	arrDist
0	1406952.50	906.47	413.20
1	0.00	0.00	0.00
2	1413298.50	1102.81	449.67
3	225689.50	158.71	428.25
4	45871.50	19.17	364.06
5	332971.50	217.18	415.18
6	32562.50	17.38	387.65
7	56331.00	46.22	461.73
8	623.50	0.06	311.75
9	0.00	0.00	0.00
10	0.00	0.00	0.00
11	0.00	0.00	0.00
12	398638.50	284.39	430.96
13	0.00	0.00	0.00
14	0.00	0.00	0.00
15	0.00	0.00	0.00
16	0.00	0.00	0.00
17	0.00	0.00	0.00
18	0.00	0.00	0.00
19	0.00	0.00	0.00
20	0.00	0.00	0.00
21	5561.00	-7.19	191.76
22	10519.50	-4.69	250.46
23	68110.00	56.94	466.51
24	0.00	0.00	0.00
25	17994.50	3.66	327.17
26	13355.00	0.51	303.52
27	117737.50	81.36	425.05
28	24175.50	18.01	439.55
29	0.00	0.00	0.00
30	0.00	0.00	0.00
31	359885.50	287.30	454.98
32	0.00	0.00	0.00
33	0.00	0.00	0.00
34	159505.50	113.18	429.93
35	47240.50	29.28	407.25
36	186878.00	140.00	440.75
37	0.00	0.00	0.00
38	0.00	0.00	0.00
39	0.00	0.00	0.00
40	0.00	0.00	0.00
41	0.00	0.00	0.00
42	22180.00	18.92	471.91
43	0.00	0.00	0.00
44	0.00	0.00	0.00
45	0.00	0.00	0.00
46	0.00	0.00	0.00
47	0.00	0.00	0.00
48	0.00	0.00	0.00
49	0.00	0.00	0.00
50	0.00	0.00	0.00
51	0.00	0.00	0.00
52	0.00	0.00	0.00
53	0.00	0.00	0.00
54	0.00	0.00	0.00
55	0.00	0.00	0.00
56	0.00	0.00	0.00
57	0.00	0.00	0.00
58	0.00	0.00	0.00
59	0.00	0.00	0.00
60	0.00	0.00	0.00
61	0.00	0.00	0.00
62	0.00	0.00	0.00
63	0.00	0.00	0.00
64	0.00	0.00	0.00
65	0.00	0.00	0.00
66	0.00	0.00	0.00
67	0.00	0.00	0.00
68	0.00	0.00	0.00
69	0.00	0.00	0.00
70	0.00	0.00	0.00
71	0.00	0.00	0.00
72	0.00	0.00	0.00
73	0.00	0.00	0.00
74	0.00	0.00	0.00
75	0.00	0.00	0.00
76	0.00	0.00	0.00
77	0.00	0.00	0.00
78	0.00	0.00	0.00
79	0.00	0.00	0.00
80	0.00	0.00	0.00
81	0.00	0.00	0.00
82	0.00	0.00	0.00
83	0.00	0.00	0.00
84	0.00	0.00	0.00
85	0.00	0.00	0.00
86	0.00	0.00	0.00
87	0.00	0.00	0.00
88	0.00	0.00	0.00
89	0.00	0.00	0.00
90	0.00	0.00	0.00
91	0.00	0.00	0.00
92	0.00	0.00	0.00
93	0.00	0.00	0.00
94	0.00	0.00	0.00
95	0.00	0.00	0.00
96	0.00	0.00	0.00
97	0.00	0.00	0.00
98	0.00	0.00	0.00
99	0.00	0.00	0.00
100	0.00	0.00	0.00
101	0.00	0.00	0.00
102	0.00	0.00	0.00
103	0.00	0.00	0.00
104	0.00	0.00	0.00
105	0.00	0.00	0.00
106	0.00	0.00	0.00
107	0.00	0.00	0.00
108	0.00	0.00	0.00
109	0.00	0.00	0.00
110	0.00	0.00	0.00
111	0.00	0.00	0.00
112	0.00	0.00	0.00
113	0.00	0.00	0.00
114	0.00	0.00	0.00
115	0.00	0.00	0.00
116	0.00	0.00	0.00
117	0.00	0.00	0.00
118	0.00	0.00	0.00
119	0.00	0.00	0.00
120	0.00	0.00	0.00
121	0.00	0.00	0.00
122	0.00	0.00	0.00
123	0.00	0.00	0.00
124	0.00	0.00	0.00
125	0.00	0.00	0.00
126	0.00	0.00	0.00
127	0.00	0.00	0.00
128	0.00	0.00	0.00
129	0.00	0.00	0.00
130	0.00	0.00	0.00
131	0.00	0.00	0.00
132	0.00	0.00	0.00
133	0.00	0.00	0.00
134	0.00	0.00	0.00
135	0.00	0.00	0.00
136	0.00	0.00	0.00
137	0.00	0.00	0.00
