tigID	rho	covStat	arrDist
0	1360588.00	876.65	414.06
1	46759.00	20.37	368.18
2	1413359.00	1096.72	449.40
3	45870.50	19.01	364.05
4	332970.50	216.04	415.18
5	34922.50	17.19	379.59
6	1751.50	1.29	437.88
7	36347.50	20.50	395.08
8	2095.00	2.78	698.33
9	398635.50	283.02	430.96
10	0.00	0.00	0.00
11	0.00	0.00	0.00
12	61882.00	33.25	389.19
13	10519.00	-4.73	250.45
14	0.00	0.00	0.00
15	68110.00	56.70	466.51
16	0.00	0.00	0.00
17	0.00	0.00	0.00
18	0.00	0.00	0.00
19	17994.50	3.59	327.17
20	13355.00	0.46	303.52
21	0.00	0.00	0.00
22	117739.50	80.96	425.05
23	0.00	0.00	0.00
24	184406.50	136.40	439.06
25	0.00	0.00	0.00
26	24919.50	18.26	437.18
27	0.00	0.00	0.00
28	0.00	0.00	0.00
29	0.00	0.00	0.00
30	364541.00	291.31	456.25
31	0.00	0.00	0.00
32	159505.00	111.94	428.78
33	47331.00	27.94	401.11
34	2996.00	2.09	428.00
35	0.00	0.00	0.00
36	0.00	0.00	0.00
37	0.00	0.00	0.00
38	0.00	0.00	0.00
39	1469.00	1.33	489.67
40	190153.50	138.63	436.13
41	0.00	0.00	0.00
42	0.00	0.00	0.00
43	286.50	-0.03	286.50
44	0.00	0.00	0.00
45	0.00	0.00	0.00
46	0.00	0.00	0.00
47	0.00	0.00	0.00
48	2731.50	-3.37	195.11
49	0.00	0.00	0.00
50	22172.00	18.82	471.74
51	0.00	0.00	0.00
52	0.00	0.00	0.00
53	0.00	0.00	0.00
54	0.00	0.00	0.00
55	0.00	0.00	0.00
56	0.00	0.00	0.00
57	0.00	0.00	0.00
58	0.00	0.00	0.00
59	0.00	0.00	0.00
60	0.00	0.00	0.00
61	0.00	0.00	0.00
62	0.00	0.00	0.00
63	0.00	0.00	0.00
64	0.00	0.00	0.00
65	0.00	0.00	0.00
66	0.00	0.00	0.00
67	0.00	0.00	0.00
68	0.00	0.00	0.00
69	0.00	0.00	0.00
70	0.00	0.00	0.00
71	0.00	0.00	0.00
